xpath_id,source,xml_version,level,xpath,raw_group_root,group_root,master_detail,default_column_name,default_data_type,default_data_length,sample_value,group_level
12,TMEAC,1.0,5,/pr/product/policies/policy/@log-exclusions,/pr/product/policies/policy,/pr/product/policies,D,policy_log-exclusions,varchar,35,false,4
2513,DDD,1.0,6,/Product/Other/Email_Notification/Rules/Rule/@Count,/Product/Other/Email_Notification/Rules/Rule,/Product/Other/Email_Notification/Rules/Rule,M,Rule_Count,int,,300,5
4426,DDI,1.0,6,/data/other/cav_ddna_meta/ftp/trans_cnt/h22,/data/other/cav_ddna_meta/ftp/trans_cnt,/data/other/cav_ddna_meta/ftp/trans_cnt,M,ftp_trans_cnt_h22,int,,36777,5
19,TMEAC,1.0,5,/pr/product/rules/rule/@size,/pr/product/rules/rule,/pr/product/rules,D,rule_size,int,,152356,4
2512,DDD,1.0,5,/Product/Other/Detection_Log/Disk_Usage_Estimation/@Size,/Product/Other/Detection_Log/Disk_Usage_Estimation,/Product/Other/Detection_Log/Disk_Usage_Estimation,M,Disk_Usage_Estimation_Size,int,,1203076524,4
4435,DDI,1.0,6,/data/other/cav_ddna_meta/http/flow_cnt/h07,/data/other/cav_ddna_meta/http/flow_cnt,/data/other/cav_ddna_meta/http/flow_cnt,M,http_flow_cnt_h07,int,,1490716,5
22,TMEAC,1.0,4,/pr/product/targets/@count,/pr/product/targets,/pr/product/targets,M,targets_count,int,,1000,3
2523,DDD,1.0,6,/Product/Other/Statistic/Root_Accesses/Access/@Token_ID,/Product/Other/Statistic/Root_Accesses/Access,/Product/Other/Statistic/Root_Accesses/Access,D,Access_Token_ID,varchar,63,398f587a-671f-40c6-858b-dc72f9fff841,5
4276,DDD,1.0,5,/Product/Setting/EUQ/Digest/@InlineActionEnabled,/Product/Setting/EUQ/Digest,/Product/Setting/EUQ,M,Digest_InlineActionEnabled,varchar,10,False,4
17,TMEAC,1.0,4,/pr/product/rules/@count,/pr/product/rules,/pr/product/rules,M,rules_count,int,,15,3
2558,DDI,1.0,4,/data/other/packet_capture_stat/pcap_save_request,/data/other/packet_capture_stat,/data/other/packet_capture_stat,M,packet_capture_stat_pcap_save_request,varchar,16,"1,072,179",3
23,TMEAC,1.0,4,/pr/product/targets/@machines,/pr/product/targets,/pr/product/targets,M,targets_machines,int,,1000,3
2508,DDEI,1.0,5,/Data/ProductInfo/License/AC/ACCode,/Data/ProductInfo/License/AC,/Data/ProductInfo/License/AC,D,AC_ACCode,varchar,65,DE-54JQ-4Q6ZB-X6XWH-EYV5U-R2GB2-ST3BP,4
4405,DDI,1.0,6,/data/other/cav_ddna_meta/ftp/trans_cnt/h01,/data/other/cav_ddna_meta/ftp/trans_cnt,/data/other/cav_ddna_meta/ftp/trans_cnt,M,ftp_trans_cnt_h01,int,,559417,5
24,TMEAC,1.0,4,/pr/product/targets/@users,/pr/product/targets,/pr/product/targets,M,targets_users,int,,2092,3
2517,DDD,1.0,6,/Product/Other/Smart_Search/Filters/Filter/@Type,/Product/Other/Smart_Search/Filters/Filter,/Product/Other/Smart_Search/Filters/Filter,D,Filter_Type,varchar,18,Customized,5
4462,DDI,1.0,6,/data/other/cav_ddna_meta/http/trans_cnt/h10,/data/other/cav_ddna_meta/http/trans_cnt,/data/other/cav_ddna_meta/http/trans_cnt,M,http_trans_cnt_h10,int,,134229669,5
18,TMEAC,1.0,5,/pr/product/rules/rule/@method,/pr/product/rules/rule,/pr/product/rules,D,rule_method,varchar,93,CertificatePattern,4
20,TMEAC,1.0,5,/pr/product/rules/rule/@type,/pr/product/rules/rule,/pr/product/rules,D,rule_type,varchar,41,LockDown,4
2521,DDD,1.0,7,/Product/Other/Statistic/Plan_Details/Results/Result/@Error,/Product/Other/Statistic/Plan_Details/Results/Result,/Product/Other/Statistic/Plan_Details/Results/Result,D,Result_Error,varchar,228,The appliance was unable to execute the plan. The available storage space is insufficient for downloading the update file. (-1000),6
4434,DDI,1.0,6,/data/other/cav_ddna_meta/http/flow_cnt/h06,/data/other/cav_ddna_meta/http/flow_cnt,/data/other/cav_ddna_meta/http/flow_cnt,M,http_flow_cnt_h06,int,,1341075,5
27,TMEAC,1.0,6,/pr/product/targets/group/distribution/@name,/pr/product/targets/group/distribution,/pr/product/targets,D,distribution_name,varchar,39,version,5
2520,DDD,1.0,7,/Product/Other/Statistic/Plan_Details/Results/Result/@Count,/Product/Other/Statistic/Plan_Details/Results/Result,/Product/Other/Statistic/Plan_Details/Results/Result,D,Result_Count,int,,46,6
4443,DDI,1.0,6,/data/other/cav_ddna_meta/http/flow_cnt/h15,/data/other/cav_ddna_meta/http/flow_cnt,/data/other/cav_ddna_meta/http/flow_cnt,M,http_flow_cnt_h15,int,,1371320,5
30,TMEAC,1.0,3,/pr/product/version,/pr/product,/pr,M,product_version,varchar,99,1.0-ALPHA1-SNAPSHOT,2
2531,DDD,1.0,5,/Product/Setting/Storages/Storage/@Category,/Product/Setting/Storages/Storage,/Product/Setting/Storages/Storage,D,Storages_Storage_Category,varchar,10,Purge,4
4284,DDWI,2.2,3,/bif/Product/@code,/bif/Product,/bif,M,Product_code,varchar,10,DDWI,2
25,TMEAC,1.0,5,/pr/product/targets/group/@count,/pr/product/targets/group,/pr/product/targets,D,group_count,int,,1000,4
2566,DDI,1.0,5,/data/other/va_report_severity_stat/record/count,/data/other/va_report_severity_stat/record,/data/other/va_report_severity_stat/record,D,va_report_severity_stat_record_count,int,,1094,4
31,DS,1.0,2,/Data/DS_Feedback_Version,/Data,/Data,M,Data_DS_Feedback_Version,numeric,"2,1",1.0,1
2516,DDD,1.0,6,/Product/Other/Smart_Search/Filters/Filter/@Count,/Product/Other/Smart_Search/Filters/Filter,/Product/Other/Smart_Search/Filters/Filter,D,Filter_Count,int,,14,5
4413,DDI,1.0,6,/data/other/cav_ddna_meta/ftp/trans_cnt/h09,/data/other/cav_ddna_meta/ftp/trans_cnt,/data/other/cav_ddna_meta/ftp/trans_cnt,M,ftp_trans_cnt_h09,int,,119883,5
32,DS,1.0,2,/Data/LastUpdateTimeUTC,/Data,/Data,M,Data_LastUpdateTimeUTC,datetime,,2015-01-15T03:45:40.735-03:00,1
2525,DDD,1.0,5,/Product/Other/Storages/Storage/@Total,/Product/Other/Storages/Storage,/Product/Other/Storages/Storage,D,Storage_Total,int,,736484319232,4
4470,DDI,1.0,6,/data/other/cav_ddna_meta/http/trans_cnt/h18,/data/other/cav_ddna_meta/http/trans_cnt,/data/other/cav_ddna_meta/http/trans_cnt,M,http_trans_cnt_h18,int,,134191463,5
26,TMEAC,1.0,5,/pr/product/targets/group/@of,/pr/product/targets/group,/pr/product/targets,D,group_of,varchar,84,inactive,4
28,TMEAC,1.0,7,/pr/product/targets/group/distribution/item/@count,/pr/product/targets/group/distribution/item,/pr/product/targets,D,item_count,int,,1000,6
2529,DDD,1.0,5,/Product/Setting/Ignore_Rule/Rules/@Enabled_Count,/Product/Setting/Ignore_Rule/Rules,/Product/Setting/Ignore_Rule/Rules,M,Rules_Enabled_Count,int,,10,4
4442,DDI,1.0,6,/data/other/cav_ddna_meta/http/flow_cnt/h14,/data/other/cav_ddna_meta/http/flow_cnt,/data/other/cav_ddna_meta/http/flow_cnt,M,http_flow_cnt_h14,int,,1264836,5
35,DS,1.0,6,/Data/Products/Product/EndPoint/ActivatedSeat/@Agents,/Data/Products/Product/EndPoint/ActivatedSeat,/Data/Products/Product/EndPoint/ActivatedSeat,M,ActivatedSeat_Agents,int,,88154,5
2528,DDD,1.0,5,/Product/Other/VA_Images/VA_Image/@Size,/Product/Other/VA_Images/VA_Image,/Product/Other/VA_Images/VA_Image,D,VA_Image_Size,int,,4844141056,4
4451,DDI,1.0,6,/data/other/cav_ddna_meta/http/flow_cnt/h23,/data/other/cav_ddna_meta/http/flow_cnt,/data/other/cav_ddna_meta/http/flow_cnt,M,http_flow_cnt_h23,int,,1341884,5
