ID,source,xml_version,xpath,create_date,latest_feedback_date,file_count
8202,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/ApexOneServerProxy/Proxy_Pwd_Set,2021-11-30T00:00:00.0000000,,
1579,OSCE,2.0,/Data/Products/Product/EndPoint/TRENDX_CFG/Item/@desktop_on,2016-07-19T00:00:00.0000000,,
8205,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentExternalProxy/URLFilterProxyPassword_Set,2021-11-30T00:00:00.0000000,,
1590,OSCE,2.0,/Data/Products/Product/EndPoint/BehaviourMonitor/Item/@server_off,2016-07-19T00:00:00.0000000,,
8188,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentExternalProxy/URLFilterProxyAccount,2021-11-09T00:00:00.0000000,,
1605,OSCE,2.0,/Data/Products/Product/EndPoint/Privileges_Others/Item/@server_on,2016-08-02T00:00:00.0000000,,
8195,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/ServerProxy/Internet_Proxy_IP,2021-11-13T00:00:00.0000000,,
1588,OSCE,2.0,/Data/Products/Product/EndPoint/BehaviourMonitor/Item/@Name,2016-07-19T00:00:00.0000000,,
8193,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/AutoProxy/ProxyAutoConfigScript,2021-11-10T00:00:00.0000000,,
1586,OSCE,2.0,/Data/Products/Product/EndPoint/SAMPLE_SUBMISSION/Item/@desktop_on,2016-07-19T00:00:00.0000000,,
8190,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/ApexOneServerProxy/Proxy_IP,2021-11-10T00:00:00.0000000,,
1607,OSCE,2.0,/Data/Products/Product/EndPoint/Privileges_Others/Item/@desktop_on,2016-08-02T00:00:00.0000000,,
8186,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/AutoProxy/Proxy_Login,2021-11-09T00:00:00.0000000,,
1571,OSCE,2.0,/Data/Products/Product/EndPoint/TRENDX_CFG/TRENDX_FILE/@Log,2016-07-17T00:00:00.0000000,,
8197,OSCE,2.0,/Data/Products/Product/Server/SNMPTrap/SNMPServer,2021-11-19T00:00:00.0000000,,
1574,OSCE,2.0,/Data/Products/Product/EndPoint/TRENDX_CFG/TRENDX_PROCESS/@Terminate,2016-07-17T00:00:00.0000000,,
8180,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/WindowsProxy/Proxy_Login,2021-11-09T00:00:00.0000000,,
1589,OSCE,2.0,/Data/Products/Product/EndPoint/BehaviourMonitor/Item/@server_on,2016-07-19T00:00:00.0000000,,
8187,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/AutoProxy/Proxy_Pwd,2021-11-09T00:00:00.0000000,,
1580,OSCE,2.0,/Data/Products/Product/EndPoint/TRENDX_CFG/Item/@desktop_off,2016-07-19T00:00:00.0000000,,
8185,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/SPSProxy/Standard_ProxyServer,2021-11-09T00:00:00.0000000,,
1578,OSCE,2.0,/Data/Products/Product/EndPoint/TRENDX_CFG/Item/@server_off,2016-07-19T00:00:00.0000000,,
8182,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/ApexOneServerProxy/Proxy_Port,2021-11-09T00:00:00.0000000,,
1591,OSCE,2.0,/Data/Products/Product/EndPoint/BehaviourMonitor/Item/@desktop_on,2016-07-19T00:00:00.0000000,,
8178,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/AutoProxy/AutoProxyDetection,2021-11-05T00:00:00.0000000,,
1563,OSCE,2.0,/Data/Products/Product/EndPoint/TRENDX_CFG/ENABLE_PROCESS/@disable,2016-07-17T00:00:00.0000000,,
8189,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentExternalProxy/URLFilterProxyPassword,2021-11-09T00:00:00.0000000,,
1566,OSCE,2.0,/Data/Products/Product/EndPoint/TRENDX_CFG/TRENDX/@enable,2016-07-17T00:00:00.0000000,,
8172,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/ServerProxy/Internet_Proxy_Socks,2021-11-05T00:00:00.0000000,,
1573,OSCE,2.0,/Data/Products/Product/EndPoint/TRENDX_CFG/TRENDX_PROCESS/@disable,2016-07-17T00:00:00.0000000,,
8179,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/AutoProxy/UseProxyAutoConfigScript,2021-11-05T00:00:00.0000000,,
1572,OSCE,2.0,/Data/Products/Product/EndPoint/TRENDX_CFG/TRENDX_PROCESS/@enable,2016-07-17T00:00:00.0000000,,
8177,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/SPSProxy/Standard_ProxyPort,2021-11-05T00:00:00.0000000,,
1570,OSCE,2.0,/Data/Products/Product/EndPoint/TRENDX_CFG/TRENDX_FILE/@Quarantine,2016-07-17T00:00:00.0000000,,
8174,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/ProxyTypeID,2021-11-05T00:00:00.0000000,,
1583,OSCE,2.0,/Data/Products/Product/EndPoint/SAMPLE_SUBMISSION/Item/@Name,2016-07-19T00:00:00.0000000,,
8170,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/ServerProxy/Use_Internet_Proxy,2021-11-05T00:00:00.0000000,,
1043,OSCE,2.0,/Data/Products/Product/EndPoint/AgentGlobalSettingInClient/MeerkatLogOnly/@enable,2015-11-20T00:00:00.0000000,,
8181,OSCE,2.0,/Data/Products/Product/Server/ProxySettings/AgentProxy/AgentInternalProxy/WindowsProxy/Proxy_Pwd,2021-11-09T00:00:00.0000000,,
